LAT,LON,ALT,Temp,Press,AltGPS,AltBar,SpdGps
49.7186992,14.096811,462.156,15.88,96160.50,462.16,439.07,0.00
49.7187335,14.0968874,461.994,15.88,96160.50,461.99,439.07,0.00
49.7187335,14.0968874,461.994,15.88,96164.00,461.99,438.76,0.00
49.7187489,14.097039,460.364,15.88,96164.00,460.36,438.76,0.00
49.7187489,14.097039,460.364,15.88,96164.00,460.36,438.76,0.00
49.7187875,14.0971304,460.295,15.88,96164.00,460.30,438.76,0.00
49.7187875,14.0971304,460.295,15.88,96164.75,460.30,438.70,0.00
49.7188262,14.0972211,460.233,15.88,96164.75,460.23,438.70,0.00
49.7188262,14.0972211,460.233,15.88,96168.25,460.23,438.39,0.00
49.7188731,14.0973006,456.738,15.88,96168.25,456.74,438.39,0.00
49.7188731,14.0973006,456.738,15.88,96168.25,456.74,438.39,0.00
49.7189133,14.0973886,456.756,15.88,96168.50,456.76,438.37,0.00
49.7189133,14.0973886,456.756,15.88,96168.50,456.76,438.37,0.00
49.7189556,14.0974827,456.734,15.94,96172.50,456.73,438.02,0.00
49.7189556,14.0974827,456.734,15.94,96172.50,456.73,438.02,0.00
49.7189971,14.0975585,454.331,15.94,96168.25,454.33,438.39,0.00
49.719037,14.0976385,454.347,15.94,96168.25,454.35,438.39,0.00
49.719037,14.0976385,454.347,15.94,96174.25,454.35,437.87,0.00
49.7190782,14.0977214,454.356,15.94,96174.25,454.36,437.87,0.00
49.7190782,14.0977214,454.356,15.94,96172.50,454.36,438.02,0.00
49.7191368,14.0977754,458.7,15.94,96172.50,458.70,438.02,0.00
49.7191368,14.0977754,458.7,15.94,96178.00,458.70,437.55,0.00
49.7191772,14.0978559,458.748,15.94,96178.00,458.75,437.55,0.00
49.7191772,14.0978559,458.748,15.94,96178.00,458.75,437.55,0.00
49.7192177,14.0979363,458.796,15.94,96178.00,458.80,437.55,0.00
49.7192177,14.0979363,458.796,15.94,96180.00,458.80,437.37,0.00
49.7192284,14.0979696,457.352,15.94,96180.00,457.35,437.37,0.00
49.7192284,14.0979696,457.352,15.94,96184.25,457.35,437.00,0.00
49.7192651,14.0980403,457.387,15.94,96184.25,457.39,437.00,0.00
49.7192651,14.0980403,457.387,15.94,96182.50,457.39,437.16,0.00
49.7193019,14.0981111,457.421,15.94,96182.50,457.42,437.16,0.00
49.7193019,14.0981111,457.421,15.94,96182.50,457.42,437.16,0.00
49.7193462,14.0981048,457.238,16.00,96190.75,457.24,436.44,0.00
49.7193833,14.0981669,457.27,16.00,96190.75,457.27,436.44,0.00
49.7193833,14.0981669,457.27,16.00,96186.25,457.27,436.83,0.00
49.7194204,14.098229,457.302,16.00,96186.25,457.30,436.83,0.00
